"user_id","status_id","created_at","screen_name","text","source","place_name","place_full_name","place_type","country","country_code","lon","lat"
"895128309180354560","980969014745845762",2018-04-03 00:43:33,"gracearmagh","Could the animals get tick borne paralysis from all the ticks #SafariLive","Twitter for iPhone",NA,NA,NA,NA,NA,-79.3831843,43.653226
"932801545388871680","981170700739399681",2018-04-03 14:04:58,"dollypollywog","Paralysis Tick Poisoning: How to Protect Your Dog &amp; Save Their Life Ahhh, summer…filled with beaches, long lazy evenings, Sunday sessions and ummm…paralysis ticks. That’s 
 https://t.co/dqUqGGrGvQ","Bleupage Ultimate",NA,NA,NA,NA,NA,-86.902298,32.3182314
"982252113299308544","983008570500308992",2018-04-08 15:48:01,"AliHearle","Minnie was just #5weeksold 😻 turned out mama had a paralysis tick and was admitted to hospital. She was so strong and pulled through in the end 😺 #Survivor #rescue #cat #kitten #kittylove #AdoptDontShop https://t.co/wiCpxcxbkA","Twitter for iPhone",NA,NA,NA,NA,NA,150.8930607,-34.4278121
"863983816855220224","983932710086500355",2018-04-11 05:00:13,"VirbacRSAfarm","Treat your animals regularly from Februarie to June with Amipor® or Pro-dip™ Cyp 20% to prevent damage caused by the Karoo paralysis tick
#amipor   #prodipcyp","Facebook",NA,NA,NA,NA,NA,NA,NA
"4085422932","980862814599262209",2018-04-02 17:41:33,"Juli0BS","#ENARM #FACMED #Medicina

〽️Enf. Lyme

🔰Agente:Borrelia burgdorferi (Espiroqueta)
•Población mayor riesgo:5-14 ã
•Tres estadios
-Temprano localizado
-Temprano diseminado
-Crónico
•Eritema migratorio(60-70%)
-Se desarrolla 3 d -16 sem después de mordedura de garrapata Ixodes https://t.co/r970nhsGQo","Twitter for iPhone",NA,NA,NA,NA,NA,-103.3496092,20.6596988
"780824511805403136","981133282363535362",2018-04-03 11:36:17,"Indicator_ru","Клещ для болезни Лайма

На #фотодня — клещ Ixodes scapularis, переносчик болезни Лайма — инфекционного заболевания, вызывающего жар, головные боли, кожную сыпь и усталость. Изучив бактерию Borrelia burgdorferi, ученые смогут применить полученные знания в лечении подобных инфекций https://t.co/gLBbp6I5Xc","Amplifr",NA,NA,NA,NA,NA,NA,NA
"4874272935","981138037223632898",2018-04-03 11:55:11,"lastfmfriends","Ogrecoxy is now listening to Ixodes by Monolithian https://t.co/pdroHN4l1R","mario's last.fm friends",NA,NA,NA,NA,NA,NA,NA
"145378129","981222804862521347",2018-04-03 17:32:01,"ACRheum","New research highlights the current geographic areas associated with Lyme disease and the presence of Ixodes scapularis. Read more in The Rheumatologist: https://t.co/kJqkfTkjNj","Sprout Social",NA,NA,NA,NA,NA,-84.3879824,33.7489954
"85650846","981242184174317574",2018-04-03 18:49:01,"muskokavet","April is Prevent Lyme Disease in Dogs month .  Lyme disease is transmitted by the bacteria  Borrelia burgdorferi,. This bacteria is  transmitted to dogs by slow-feeding, hard-shelled deer ticks (Ixodes spp.).... https://t.co/hzqc6fkJD5","Facebook",NA,NA,NA,NA,NA,-79.2331085,45.3356885
"2886558632","981569079373840385",2018-04-04 16:27:59,"par_papers","Infection with Borrelia chilensis in Ixodes stilesi ticks collected from Pudu puda deer. https://t.co/RC1VfkQ2lI","dlvr.it",NA,NA,NA,NA,NA,NA,NA
"959847892256284672","981715536647045121",2018-04-05 02:09:57,"bloodSparasites","Identification of #Lyme borreliae proteins promoting vertebrate host blood-specific spirochete survival in #Ixodes scapularis nymphs using artificial feeding chambers https://t.co/ER613lxx0b Ticks&amp;tbD","dlvr.it",NA,NA,NA,NA,NA,NA,NA
"1107906422","981928346262147073",2018-04-05 16:15:35,"GaSouthernBiol","The #newspecies of #tick, Ixodes goliath, recently described by Dr. Dmitry Apanaskevich and a colleague. Look for it next time you are catching rodents in #PapuaNewGuinea. https://t.co/YLTnmXGSOs https://t.co/Y8Piic72Ca","Twitter Web Client",NA,NA,NA,NA,NA,-81.258338,31.9934148
"1949132852","982302119238791168",2018-04-06 17:00:50,"biorxivpreprint","Population structure of Borrelia garinii from Ixodes uriae collected in seabird colonies of the northwestern Atlantic Ocean  https://t.co/EJUhiktoH8 #bioRxiv","biorxiv_connect",NA,NA,NA,NA,NA,-74.0059728,40.7127753
"748908558066982916","982302120362889216",2018-04-06 17:00:50,"biorxiv_micrbio","Population structure of Borrelia garinii from Ixodes uriae collected in seabird colonies of the northwestern Atlantic Ocean  https://t.co/G8NOvHffZz #biorxiv_micrbio","biorxiv_micrbio",NA,NA,NA,NA,NA,NA,NA
"738738179423997952","982302919276953600",2018-04-06 17:04:00,"bxv_microbiol","Population structure of Borrelia garinii from Ixodes uriae collected in seabird colonies of the northwestern Atlantic Ocean https://t.co/cNKnraEM9K","dlvr.it",NA,NA,NA,NA,NA,-0.087914,50.8670895
"919107341211000832","982306944202326016",2018-04-06 17:20:00,"usmle_ck_jpn","Ixodesが付着していても36時間以内であればLyme病の治療は不要","USMLE Step 2 CK bot",NA,NA,NA,NA,NA,NA,NA
"1240873208","982307573045936128",2018-04-06 17:22:30,"radiogrmljavina","Ixodes - Inside","Radio boss Playing now",NA,NA,NA,NA,NA,17.191,44.7721811
"2789424948","982346457729548288",2018-04-06 19:57:01,"litscraper","Population structure of Borrelia garinii from Ixodes uriae collected in seabird colonies of the northwestern Atlantic Ocean https://t.co/0pBN87nI18","dlvr.it",NA,NA,NA,NA,NA,NA,NA
"4471926255","982370649292378113",2018-04-06 21:33:09,"PeakGrauniad","Surely we've reached peak ixodes persulcatus? https://t.co/QQNZ4Vm5lC","The Guardianator",NA,NA,NA,NA,NA,NA,NA
"2266794218","982652392264159233",2018-04-07 16:12:41,"PhyllisMervine","Ixodes pacificus https://t.co/Du4LuUxIlm","Twitter for Android","San Ramon","San Ramon, CA","city","United States","US",-119.4179324,36.778261
"2296083216","982715860031811585",2018-04-07 20:24:53,"olbie_jbsay","Ixodes euplecti https://t.co/dj1tCwN4MY","RandomWikipedia",NA,NA,NA,NA,NA,NA,NA
"2649864229","983026694637412352",2018-04-08 17:00:02,"BenghaziWord","￬
　　　　Ｂ
ＩＸＯＤＥＳ
　　　　Ｎ
　　　　Ｇ
　　　　Ｈ
　　　　Ａ
　　　　Ｚ
　　　　Ｉ","Benghazi Every Word",NA,NA,NA,NA,NA,NA,NA
"3285525835","983290690527547392",2018-04-09 10:29:03,"XeInvincible","So what is Lyme disease? — Inflammatory disease carried by ixodes ticks https://t.co/8JpNBe2J3R","Curious Cat",NA,NA,NA,NA,NA,138.252924,36.204824
"20839221","983371305423695872",2018-04-09 15:49:24,"blamom","Identification of Novel Viruses in Amblyomma americanum, Dermacentor variabilis, and Ixodes scapularis Ticks https://t.co/80XcVnfk9y","Facebook",NA,NA,NA,NA,NA,-77.1945247,41.2033216
"2837875803","983405497029156864",2018-04-09 18:05:15,"LymeChallenge","#LymeSci:  Identification of Novel #Viruses in Amblyomma americanum, Dermacentor variabilis, and Ixodes scapularis #Ticks #TickTalk #NaturesDirtyNeedle

""We identified 33 viruses, including 24 putative novel viral species.""... https://t.co/oThxPtlQpe","Facebook",NA,NA,NA,NA,NA,NA,NA
"755368999","983696139542122496",2018-04-10 13:20:10,"sei_usmle","Aedes mosquito:熱帯縞蚊、ヤブ蚊→黄熱、デング熱、ジカ熱
Anopheles mosquito:ハマダラカ→マラリア
Ixodes tick:シカダニ→ライム病ボレリア
Reduviid bug:サシガメ→シャーガス病
Sandfly:サンドフライ→リーシュマニア","twittbot.net",NA,NA,NA,NA,NA,NA,NA
"982071996971282433","984284599630159872",2018-04-12 04:18:30,"testmytick","Questing is a tick behavior stimulated by biochemical signals like Carbon Dioxide, heat, and motion. This is a Castor bean tick (Ixodes ricinus), a important vector of Lyme Disease in Europe. #lyme #lymedisease #outdoorsafe #gotAtick? https://t.co/gjJHM8vfWF","Twitter for iPhone",NA,NA,NA,NA,NA,-95.992775,36.1539816
"3823581065","984330309146763264",2018-04-12 07:20:08,"hitoangelhito","Ixodes ricinus https://t.co/ii2LPzDEb9","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA
"448959221","984546395234471937",2018-04-12 21:38:47,"BMESSEMER","Where Did This Little Bastard Come From?Ixodes Scapularis,The Scourge Of The Northeast,Carries A Spirochete,Borrelia Burgdorferi,Neither Of Which Are Native To North America?Eric Traub,Nazi Weaponized Bio Warfare,Specialist,And U.S. Government Employee,Along With Uncle Sam,🇺🇸 https://t.co/gg8kQjk7un","Twitter for iPhone",NA,NA,NA,NA,NA,-73.6412406,40.6587138
"764036548148899840","981468177468071936",2018-04-04 09:47:02,"segg_purple","@brown_dog_tick 微妙に長いんか〜
まあ金ないしいっか","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA
"348777855","981472295737753600",2018-04-04 10:03:24,"Foster2Home","Lyme Disease: What Dog Owners Should Know
BY DR. MARY FULLER DVM | APRIL 26, 2017
TwitterPrintEmail

Deer tick
Thinkstock
Dogs can contract Lyme disease through the bite of an infected deer tick, either... https://t.co/w1eZWRwOjk","Facebook",NA,NA,NA,NA,NA,NA,NA
"764036548148899840","981480909680533506",2018-04-04 10:37:38,"segg_purple","@brown_dog_tick なんか2枚入りだったやつつかう
まああんま電話せんし支障は気にせんでいいやろ(適当","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA
"764036548148899840","981483945349935104",2018-04-04 10:49:42,"segg_purple","@brown_dog_tick まぁ....行けるやろwwwww(超適当","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA
